Sector,Property,State,Calculated,Experimental,Uncertainty,Absolute_Error,Percentage_Error,Pull_sigma,Chi2_contrib,MSE
BC,Mass (GeV),"(1^3D_1) B_{c1,2,3}^*",7.022037456685445,,5.791513827739401,,,,,
BC,Mass (GeV),"(2^3D_1) B_{c1,2,3}^*",7.359165933906647,,4.8872902270336,,,,,
BC,Mass (GeV),"(3^3D_1) B_{c1,2,3}^*",7.655429971570176,,4.3285033371393995,,,,,
BC,Mass (GeV),"(1^3D_2) B_{c1,2,3}^*",7.029649232166267,,5.0808203073759,,,,,
BC,Mass (GeV),"(2^3D_2) B_{c1,2,3}^*",7.368057647481426,,4.2279926218323,,,,,
BC,Mass (GeV),"(3^3D_2) B_{c1,2,3}^*",7.665048899938232,,3.6987979165341,,,,,
BC,Mass (GeV),"(1^3D_3) B_{c1,2,3}^*",7.026428263221529,,4.571088605883601,,,,,
BC,Mass (GeV),"(2^3D_3) B_{c1,2,3}^*",7.367219744852615,,3.7462031242066,,,,,
BC,Mass (GeV),"(3^3D_3) B_{c1,2,3}^*",7.66571806927609,,3.2345672090600996,,,,,
CU,Mass (GeV),(1^1S) D,1.8639999998978096,1.864,0.0,-1.0219025625701761e-07,5.482309885033133e-09,-1.0219025625701761e-07,1.0442848473874927e-14,1.0442848473874928e-14
CU,Mass (GeV),(1^3S) D^*,1.9894594079568448,,0.0,,,,,
